code,parent_code,name,region_type,center_lat,center_lng
11260,11,중랑구,si-gun-gu,37.59537536421908,127.09395012140237
11260101,11260,면목동,eup-myeon-dong,37.581921914257876,127.0901919949738
11260102,11260,상봉동,eup-myeon-dong,37.60015447727311,127.08320515966129
11260103,11260,중화동,eup-myeon-dong,37.600458696960274,127.07843013733569
11260104,11260,묵동,eup-myeon-dong,37.612530343776086,127.08032359621916
11260105,11260,망우동,eup-myeon-dong,37.600370276056765,127.10563535721164
11260106,11260,신내동,eup-myeon-dong,37.61024767244014,127.10114001818856
11290,11,성북구,si-gun-gu,37.60698748686326,127.02320128657249
11290101,11290,성북동,eup-myeon-dong,37.59631845331853,126.99252418697492
11290102,11290,성북동1가,eup-myeon-dong,37.589535953696895,127.00401408818192
11290103,11290,돈암동,eup-myeon-dong,37.59717825962355,127.01781506412318
11290104,11290,동소문동1가,eup-myeon-dong,37.59013385337592,127.00723809679957
11290105,11290,동소문동2가,eup-myeon-dong,37.5888127099751,127.00811196700059
11290106,11290,동소문동3가,eup-myeon-dong,37.59038892827289,127.01159949649733
11290107,11290,동소문동4가,eup-myeon-dong,37.59186409216795,127.0105856273814
11290108,11290,동소문동5가,eup-myeon-dong,37.591508583963204,127.01504939264605
11290109,11290,동소문동6가,eup-myeon-dong,37.59362838501056,127.01401078079306
11290110,11290,동소문동7가,eup-myeon-dong,37.59630923477235,127.01427924673669
11290111,11290,삼선동1가,eup-myeon-dong,37.58438083877601,127.00749919550225
11290112,11290,삼선동2가,eup-myeon-dong,37.58485504211269,127.01186895106534
11290113,11290,삼선동3가,eup-myeon-dong,37.58674718601963,127.01342453109797
11290114,11290,삼선동4가,eup-myeon-dong,37.589815041898916,127.01333471513789
11290115,11290,삼선동5가,eup-myeon-dong,37.58854460476815,127.01598416783592
11290116,11290,동선동1가,eup-myeon-dong,37.592452885908045,127.0181908384038
11290117,11290,동선동2가,eup-myeon-dong,37.590042290574374,127.01969220433793
11290118,11290,동선동3가,eup-myeon-dong,37.594150022672636,127.02046705902387
11290119,11290,동선동4가,eup-myeon-dong,37.59512748254119,127.0188139654145
11290120,11290,동선동5가,eup-myeon-dong,37.596321801291126,127.0168657707669
11290121,11290,안암동1가,eup-myeon-dong,37.58871360546893,127.02227156939804
11290122,11290,안암동2가,eup-myeon-dong,37.58683729008988,127.02325091614384
11290123,11290,안암동3가,eup-myeon-dong,37.583948701047476,127.02365474861107
11290124,11290,안암동4가,eup-myeon-dong,37.580537522930236,127.02458967068728
11290125,11290,안암동5가,eup-myeon-dong,37.58843491824499,127.02956976340616
11290126,11290,보문동4가,eup-myeon-dong,37.582899916655094,127.02136486318162
11290127,11290,보문동5가,eup-myeon-dong,37.582399690584424,127.02013939564705
11290128,11290,보문동6가,eup-myeon-dong,37.58062975896098,127.0192793524897
11290129,11290,보문동7가,eup-myeon-dong,37.579606161975235,127.02230424825743
11290130,11290,보문동1가,eup-myeon-dong,37.58649562073603,127.01959089334662
11290131,11290,보문동2가,eup-myeon-dong,37.585845968627964,127.01828350000875
11290132,11290,보문동3가,eup-myeon-dong,37.584328846267354,127.01650123396988
11290133,11290,정릉동,eup-myeon-dong,37.61677264558618,126.99833628550053
11290134,11290,길음동,eup-myeon-dong,37.60848448598538,127.0223740910991
11290135,11290,종암동,eup-myeon-dong,37.59652267227868,127.0332628277269
11290136,11290,하월곡동,eup-myeon-dong,37.604165488123,127.03786931692682
11290137,11290,상월곡동,eup-myeon-dong,37.606053239427986,127.04752233149904
11290138,11290,장위동,eup-myeon-dong,37.61603343036472,127.05032077147284
11290139,11290,석관동,eup-myeon-dong,37.60793695485451,127.06115913203564
11305,11,강북구,si-gun-gu,37.64703127247889,127.01469738339163
11305101,11305,미아동,eup-myeon-dong,37.62198457523316,127.0235518954874
11305102,11305,번동,eup-myeon-dong,37.629222217984825,127.03636382655748
11305103,11305,수유동,eup-myeon-dong,37.63712728706139,127.00752865837126
11305104,11305,우이동,eup-myeon-dong,37.66327653325655,126.99920151788999
11320,11,도봉구,si-gun-gu,37.6659347737978,127.03174684411717
11320105,11320,쌍문동,eup-myeon-dong,37.65255012041992,127.02735494352949
11320106,11320,방학동,eup-myeon-dong,37.6646429818877,127.03346833130443
11320107,11320,창동,eup-myeon-dong,37.64630706333777,127.04336471042006
11320108,11320,도봉동,eup-myeon-dong,37.6853153304909,127.02984613483528
11350,11,노원구,si-gun-gu,37.65520237933155,127.07710324369778
11350102,11350,월계동,eup-myeon-dong,37.62954934103933,127.05623745431525
11350103,11350,공릉동,eup-myeon-dong,37.630473214416966,127.08846718368008
11350104,11350,하계동,eup-myeon-dong,37.63848908331967,127.07149259158619
11350105,11350,상계동,eup-myeon-dong,37.66641255931772,127.07230466702384
11350106,11350,중계동,eup-myeon-dong,37.65087231249305,127.07749254767342
11380,11,은평구,si-gun-gu,37.61761015011233,126.92267984160216
11380101,11380,수색동,eup-myeon-dong,37.58498350534049,126.89282807003445
11380102,11380,녹번동,eup-myeon-dong,37.60411550277024,126.93447148145023
11380103,11380,불광동,eup-myeon-dong,37.61918838555631,126.93511532073327
11380104,11380,갈현동,eup-myeon-dong,37.62109375177525,126.91324347986887
11380105,11380,구산동,eup-myeon-dong,37.612196956911426,126.90879887097381
11380106,11380,대조동,eup-myeon-dong,37.612645174017395,126.92436956523433
11380107,11380,응암동,eup-myeon-dong,37.59267999256678,126.9257785504195
11380108,11380,역촌동,eup-myeon-dong,37.60507605939294,126.91212404520597
